grp animal week weight
1 1 1 455 
1 1 3 460 
1 1 4 510 
1 1 5 504 
1 1 6 436 
1 1 7 466 
1 2 1 467 
1 2 3 565 
1 2 4 610 
1 2 5 596 
1 2 6 542 
1 2 7 587 
1 3 1 445 
1 3 3 530 
1 3 4 580 
1 3 5 597 
1 3 6 582 
1 3 7 619 
1 4 1 485 
1 4 3 542 
1 4 4 594 
1 4 5 583 
1 4 6 611 
1 4 7 612 
1 5 1 480 
1 5 3 500 
1 5 4 550 
1 5 5 528 
1 5 6 562 
1 5 7 576 
2 6 1 514 
2 6 3 560 
2 6 4 565 
2 6 5 524 
2 6 6 552 
2 6 7 597 
2 7 1 440 
2 7 3 480 
2 7 4 536 
2 7 5 484 
2 7 6 567 
2 7 7 569 
2 8 1 495 
2 8 3 570 
2 8 4 569 
2 8 5 585 
2 8 6 576 
2 8 7 677 
2 9 1 520 
2 9 3 590 
2 9 4 610 
2 9 5 637 
2 9 6 671 
2 9 7 702 
2 10 1 503 
2 10 3 555 
2 10 4 591 
2 10 5 605 
2 10 6 649 
2 10 7 675 
